Año,Min,FG %,3PT%,FT%,Receptions,Assists,BLK(Tapones),STL(Recoveries),PF(Personal Faults),TO(Ball Lost),PTS_next_match,WinBinary,LocalPoints,VisitorPoints,LebronTeamPoints,OtherTeamPoints,Local_Binary,FG_made,FG_attempted,FT_made,FT_attempted,3PTS_made,3PTS_attempted,AñoMes,3PT%_rolling_mean_4,3PTS_attempted_rolling_mean_4,3PTS_made_rolling_mean_4,Assists_rolling_mean_4,Año_rolling_mean_4,BLK(Tapones)_rolling_mean_4,FG %_rolling_mean_4,FG_attempted_rolling_mean_4,FG_made_rolling_mean_4,FT%_rolling_mean_4,FT_attempted_rolling_mean_4,FT_made_rolling_mean_4,LebronTeamPoints_rolling_mean_4,LocalPoints_rolling_mean_4,Local_Binary_rolling_mean_4,OtherTeamPoints_rolling_mean_4,PF(Personal Faults)_rolling_mean_4,Receptions_rolling_mean_4,STL(Recoveries)_rolling_mean_4,TO(Ball Lost)_rolling_mean_4,VisitorPoints_rolling_mean_4,WinBinary_rolling_mean_4,three_point_ratio,free_throw_ratio,lebron_team_points_ratio,three_point_ratio_rolling_mean_4,free_throw_ratio_rolling_mean_4,lebron_team_points_ratio_rolling_mean_4
2018.0,37,0.5379999999999999,0.5,0.818,10.0,8.0,0.0,1.0,1.0,4.0,18.0,1.0,118.0,105.0,105.0,118.0,1.0,14.0,26.0,9.0,11.0,4.0,8.0,2018-03,0.48825,6.0,2.75,10.0,2018.0,0.0,0.48675,20.25,9.75,0.81125,9.0,7.0,103.25,111.75,1.0,111.75,1.5,10.5,0.25,4.25,103.25,1.0,0.5,0.8181818181818182,0.17142857142857143,0.4880952380952381,0.8113636363636364,0.25710473604168266
2018.0,38,0.389,0.0,0.8,6.0,7.0,0.0,0.0,1.0,6.0,37.0,0.0,98.0,79.0,98.0,79.0,0.0,7.0,18.0,4.0,5.0,0.0,4.0,2018-03,0.41675,5.25,2.25,8.25,2018.0,0.0,0.43399999999999994,19.75,8.5,0.8362499999999999,7.75,6.25,99.0,106.5,0.75,101.75,1.25,9.75,0.25,4.25,94.25,0.75,0.0,0.8,0.37755102040816324,0.41666666666666663,0.8363636363636364,0.29279683896981046
2018.0,38,0.737,0.25,0.8,10.0,8.0,0.0,1.0,3.0,2.0,27.0,1.0,121.0,114.0,114.0,121.0,1.0,14.0,19.0,8.0,10.0,1.0,4.0,2018-03,0.35425,4.75,1.75,8.75,2018.0,0.0,0.4755,21.0,10.0,0.8545,7.5,6.25,101.0,108.75,0.75,104.0,1.5,9.75,0.5,3.5,96.25,0.75,0.25,0.8,0.23684210526315788,0.35416666666666663,0.8545454545454546,0.31427151622899613
2018.0,29,0.688,0.25,0.667,6.0,9.0,1.0,1.0,3.0,4.0,35.0,1.0,120.0,95.0,95.0,120.0,1.0,11.0,16.0,4.0,6.0,1.0,4.0,2018-03,0.25,5.0,1.5,8.0,2018.0,0.25,0.588,19.75,11.5,0.77125,8.0,6.25,103.0,114.25,0.75,109.5,2.0,8.0,0.75,4.0,98.25,0.75,0.25,0.6666666666666666,0.3684210526315789,0.25,0.7712121212121212,0.2885606874328679
2018.0,39,0.579,0.33299999999999996,0.857,7.0,17.0,0.0,1.0,2.0,0.0,40.0,1.0,132.0,129.0,129.0,132.0,1.0,11.0,19.0,12.0,14.0,1.0,3.0,2018-03,0.20825,3.75,0.75,10.25,2018.0,0.25,0.59825,18.0,10.75,0.7810000000000001,8.75,7.0,109.0,117.75,0.75,113.0,2.25,7.25,0.75,3.0,104.25,0.75,0.3333333333333333,0.8571428571428571,0.31007751937984496,0.20833333333333331,0.780952380952381,0.32322292442068623
2018.0,40,0.552,0.429,0.625,12.0,10.0,1.0,2.0,2.0,6.0,35.0,1.0,124.0,117.0,117.0,124.0,1.0,16.0,29.0,5.0,8.0,3.0,7.0,2018-03,0.3155,4.5,1.5,11.0,2018.0,0.5,0.639,20.75,13.0,0.73725,9.5,7.25,113.75,124.25,1.0,124.25,2.5,8.75,1.25,3.0,113.75,1.0,0.42857142857142855,0.625,0.29914529914529914,0.31547619047619047,0.737202380952381,0.30362149410497025
2018.0,41,0.6,0.25,0.444,14.0,6.0,3.0,2.0,4.0,6.0,28.0,0.0,113.0,105.0,113.0,105.0,0.0,15.0,25.0,4.0,9.0,1.0,4.0,2018-03,0.3155,4.5,1.5,10.5,2018.0,1.25,0.60475,22.25,13.25,0.6482500000000001,9.25,6.25,113.5,122.25,0.75,120.25,2.75,9.75,1.5,4.0,111.5,0.75,0.25,0.4444444444444444,0.24778761061946902,0.31547619047619047,0.648313492063492,0.30635787044404805
2018.0,33,0.5,0.5,0.867,12.0,11.0,2.0,3.0,2.0,5.0,24.0,1.0,129.0,107.0,107.0,129.0,1.0,7.0,14.0,13.0,15.0,1.0,2.0,2018-03,0.378,4.0,1.5,11.0,2018.0,1.5,0.55775,21.75,12.25,0.69825,11.5,8.5,116.5,124.5,0.75,122.5,2.5,11.25,2.0,4.25,114.5,0.75,0.5,0.8666666666666667,0.22429906542056074,0.37797619047619047,0.698313492063492,0.27032737364129344
2018.0,31,0.45,0.25,0.8,10.0,7.0,1.0,1.0,0.0,2.0,25.0,0.0,127.0,113.0,127.0,113.0,0.0,9.0,20.0,4.0,5.0,2.0,8.0,2018-03,0.35725,5.25,1.75,8.5,2018.0,1.75,0.5255,22.0,11.75,0.6839999999999999,9.25,6.5,116.0,123.25,0.5,117.75,2.0,12.0,2.0,4.75,110.5,0.5,0.25,0.8,0.1968503937007874,0.35714285714285715,0.6840277777777778,0.24202059222152908
2018.0,39,0.55,0.429,0.0,10.0,6.0,3.0,2.0,2.0,5.0,39.0,0.0,116.0,102.0,116.0,102.0,0.0,11.0,20.0,0.0,2.0,3.0,7.0,2018-03,0.35724999999999996,5.25,1.75,7.5,2018.0,2.25,0.525,19.75,10.5,0.5277499999999999,7.75,5.25,115.75,121.25,0.25,112.25,2.0,11.5,2.0,4.5,106.75,0.25,0.42857142857142855,0.0,0.33620689655172414,0.35714285714285715,0.5277777777777778,0.25128599157313536
